municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Páramo del Sil,2025,37,20.0,2025,1141,17.5284837861525,
Pobladura de Pelayo García,2025,19,,2025,364,,
"Pola de Gordón, La",2025,123,57.0,2025,2833,20.120014119308152,
Ponferrada,2025,4547,1676.0,2025,63186,26.524863102586014,41.547638911799936
Posada de Valdeón,2025,34,,2025,392,,
Pozuelo del Páramo,2025,12,,2025,374,,
Priaranza del Bierzo,2025,32,,2025,672,,
Prioro,2025,22,,2025,340,,
Puebla de Lillo,2025,40,,2025,641,,
Puente de Domingo Flórez,2025,93,37.0,2025,1348,27.448071216617212,
Quintana del Castillo,2025,21,,2025,699,,
Quintana del Marco,2025,9,,2025,299,,
Quintana y Congosto,2025,17,,2025,402,,
Reyero,2025,9,,2025,120,,
Riaño,2025,52,,2025,476,,
Riego de la Vega,2025,40,,2025,697,,
Riello,2025,23,,2025,570,,
Rioseco de Tapia,2025,25,,2025,409,,
"Robla, La",2025,143,55.0,2025,3574,15.388919977616116,
Roperuelos del Páramo,2025,17,,2025,502,,
Sabero,2025,46,19.0,2025,1020,18.627450980392158,
Sahagún,2025,193,92.0,2025,2380,38.655462184873954,
San Andrés del Rabanedo,2025,1522,598.0,2025,29944,19.97061180870959,26.947075628954366
Sancedo,2025,23,,2025,532,,
San Emiliano,2025,33,,2025,585,,
San Esteban de Nogales,2025,7,,2025,239,,
San Justo de la Vega,2025,104,44.0,2025,1750,25.142857142857142,
San Millán de los Caballeros,2025,8,,2025,191,,
San Pedro Bercianos,2025,8,,2025,218,,
Santa Colomba de Curueño,2025,20,,2025,502,,
Santa Colomba de Somoza,2025,31,,2025,472,,
Santa Cristina de Valmadrigal,2025,9,,2025,278,,
Santa Elena de Jamuz,2025,68,24.0,2025,1021,23.506366307541626,
Santa María de la Isla,2025,14,,2025,429,,
Santa María del Páramo,2025,272,119.0,2025,2994,39.74615898463594,
Santa María de Ordás,2025,15,,2025,327,,
Santa Marina del Rey,2025,75,32.0,2025,1718,18.626309662398135,
Santas Martas,2025,49,,2025,763,,
Santiago Millas,2025,35,,2025,350,,
Sariegos,2025,360,98.0,2025,5456,17.961876832844577,11.97969446891906
Sena de Luna,2025,11,,2025,373,,
Soto de la Vega,2025,98,44.0,2025,1481,29.709655638082378,
Soto y Amío,2025,42,,2025,706,,
Toral de los Guzmanes,2025,23,,2025,486,,
Toreno,2025,99,44.0,2025,2833,15.531238969290504,
Torre del Bierzo,2025,82,38.0,2025,1929,19.699326075686884,
Trabadelo,2025,20,,2025,321,,
Truchas,2025,18,,2025,371,,
Turcia,2025,58,,2025,974,,
Urdiales del Páramo,2025,28,,2025,445,,
Valdefresno,2025,218,92.0,2025,2362,38.95004233700254,
Valdefuentes del Páramo,2025,12,,2025,304,,
Valdelugueros,2025,13,,2025,484,,
Valdepiélago,2025,18,,2025,306,,
Valdepolo,2025,48,15.0,2025,1177,12.744265080713678,
Valderas,2025,95,44.0,2025,1479,29.749830966869506,
Valderrey,2025,19,,2025,424,,
Valderrueda,2025,51,,2025,817,,
Valdesamario,2025,5,,2025,167,,
Val de San Lorenzo,2025,41,,2025,480,,
Valdevimbre,2025,64,,2025,892,,
Valencia de Don Juan,2025,353,155.0,2025,5103,30.374289633548894,29.134280601306493
Valverde de la Virgen,2025,381,158.0,2025,7936,19.909274193548388,17.522735981551595
Valverde-Enrique,2025,6,,2025,148,,
Vallecillo,2025,9,,2025,99,,
"Vecilla, La",2025,26,,2025,383,,
Vegacervera,2025,18,,2025,246,,
Vega de Espinareda,2025,124,54.0,2025,2006,26.91924227318046,
Vega de Infanzones,2025,26,,2025,837,,
Vega de Valcarce,2025,63,,2025,555,,
Vegaquemada,2025,19,,2025,418,,
Vegas del Condado,2025,45,14.0,2025,1165,12.01716738197425,
Villablino,2025,369,191.0,2025,7585,25.181278839815423,24.773451609582736
Villadangos del Páramo,2025,110,47.0,2025,1268,37.06624605678233,
Toral de los Vados,2025,120,43.0,2025,1751,24.557395773843517,
Villademor de la Vega,2025,6,,2025,289,,
Villafranca del Bierzo,2025,188,90.0,2025,2591,34.73562331146276,
Villagatón,2025,31,,2025,611,,
Villamandos,2025,7,,2025,272,,
Villamañán,2025,60,26.0,2025,1084,23.985239852398525,
Villamejil,2025,25,,2025,653,,
Villamontán de la Valduerna,2025,19,,2025,678,,
Villanueva de las Manzanas,2025,28,,2025,484,,
Villaobispo de Otero,2025,17,,2025,514,,
Villaquejida,2025,55,,2025,763,,
Villaquilambre,2025,994,353.0,2025,18905,18.672308912985983,21.784701289724303
Villarejo de Órbigo,2025,163,62.0,2025,2856,21.708683473389353,
Villares de Órbigo,2025,21,,2025,557,,
Villasabariego,2025,71,28.0,2025,1155,24.242424242424242,
Villaselán,2025,8,,2025,180,,
Villaturiel,2025,155,63.0,2025,1818,34.65346534653466,
Villazala,2025,22,,2025,560,,
Villazanzo de Valderaduey,2025,13,,2025,360,,
Zotes del Páramo,2025,8,,2025,384,,
Villamanín,2025,37,,2025,863,,
Villaornate y Castro,2025,6,,2025,348,,
Abella de la Conca,2025,8,,2025,156,,
Àger,2025,58,,2025,637,,
Agramunt,2025,461,169.0,2025,5653,29.895630638598977,29.204835421369154
"Alamús, Els",2025,57,,2025,835,,
Alàs i Cerc,2025,19,,2025,320,,
"Albagés, L'",2025,13,,2025,339,,
Albatàrrec,2025,112,50.0,2025,2331,21.45002145002145,
Albesa,2025,79,22.0,2025,1584,13.888888888888888,
"Albi, L'",2025,45,,2025,764,,
Alcanó,2025,13,,2025,244,,
Alcarràs,2025,556,231.0,2025,10256,22.52340093603744,23.126672359446246
Alcoletge,2025,229,74.0,2025,3640,20.329670329670332,
Alfarràs,2025,150,72.0,2025,2805,25.668449197860962,
Alfés,2025,23,,2025,284,,
Algerri,2025,20,,2025,424,,
Alguaire,2025,165,63.0,2025,3060,20.58823529411765,
Alins,2025,31,,2025,269,,
Almacelles,2025,411,148.0,2025,7018,21.08862923909946,18.386912503429507
Almatret,2025,13,,2025,292,,
Almenar,2025,198,64.0,2025,3369,18.996734936182843,
Alòs de Balaguer,2025,8,,2025,118,,
Alpicat,2025,441,125.0,2025,6515,19.186492709132768,15.064711761261025
Anglesola,2025,114,55.0,2025,1389,39.59683225341973,
Arbeca,2025,146,39.0,2025,2163,18.030513176144243,
"Pont de Bar, El",2025,13,,2025,162,,
Arres,2025,5,,2025,58,,
Arsèguel,2025,13,,2025,87,,
Artesa de Lleida,2025,97,36.0,2025,1543,23.331173039533375,
Artesa de Segre,2025,287,105.0,2025,3559,29.50266928912616,
"Sentiu de Sió, La",2025,29,,2025,448,,
Aspa,2025,15,,2025,233,,
"Avellanes i Santa Linya, Les",2025,25,,2025,434,,
Aitona,2025,120,56.0,2025,2591,21.613276727132384,
Baix Pallars,2025,31,,2025,345,,
Balaguer,2025,1104,439.0,2025,17729,24.76168988662643,30.152159206038547
Barbens,2025,44,,2025,929,,
"Baronia de Rialb, La",2025,17,,2025,216,,
Bassella,2025,20,,2025,216,,
Bausen,2025,5,,2025,62,,
Belianes,2025,28,,2025,514,,
Bellcaire d'Urgell,2025,95,33.0,2025,1275,25.88235294117647,
Bell-lloc d'Urgell,2025,160,57.0,2025,2364,24.111675126903553,
Bellmunt d'Urgell,2025,13,,2025,174,,
Bellver de Cerdanya,2025,306,84.0,2025,2289,36.69724770642202,
Bellvís,2025,127,34.0,2025,2249,15.117830146731881,
Benavent de Segrià,2025,98,35.0,2025,1571,22.278803309993634,
Biosca,2025,9,,2025,185,,
Bovera,2025,8,,2025,244,,
"Bòrdes, Es",2025,16,,2025,281,,
"Borges Blanques, Les",2025,417,134.0,2025,6482,20.672631903733414,17.22149956949441
Bossòst,2025,122,60.0,2025,1189,50.462573591253154,
Cabanabona,2025,11,,2025,70,,
Camarasa,2025,53,,2025,788,,
Canejan,2025,9,,2025,95,,
Castellar de la Ribera,2025,6,,2025,131,,
Castelldans,2025,48,,2025,952,,
Castellnou de Seana,2025,60,,2025,726,,
Castelló de Farfanya,2025,29,,2025,548,,
Castellserà,2025,58,,2025,993,,
Cervera,2025,630,237.0,2025,9603,24.679787566385507,25.727313138923254
Cervià de les Garrigues,2025,39,,2025,641,,
Ciutadilla,2025,13,,2025,186,,
Clariana de Cardener,2025,21,,2025,160,,
"Cogul, El",2025,11,,2025,163,,
Coll de Nargó,2025,38,,2025,585,,
Corbins,2025,77,21.0,2025,1502,13.981358189081226,
"Espluga Calba, L'",2025,20,,2025,324,,
Estaràs,2025,8,,2025,161,,
Estamariu,2025,13,,2025,135,,
Farrera,2025,11,,2025,118,,
"Floresta, La",2025,5,,2025,159,,
Foradada,2025,25,,2025,193,,
"Fuliola, La",2025,65,24.0,2025,1262,19.01743264659271,
Fulleda,2025,4,,2025,87,,
Gavet de la Conca,2025,13,,2025,252,,
Gósol,2025,22,,2025,205,,
"Granadella, La",2025,41,,2025,748,,
"Granja d'Escarp, La",2025,40,,2025,994,,
Granyanella,2025,15,,2025,154,,
Granyena de Segarra,2025,5,,2025,149,,
Granyena de les Garrigues,2025,8,,2025,174,,
Guimerà,2025,20,,2025,250,,
Guissona,2025,412,255.0,2025,7774,32.801646514021094,35.358106052360895
Guixers,2025,12,,2025,125,,
Ivars de Noguera,2025,17,,2025,317,,
Ivars d'Urgell,2025,82,27.0,2025,1578,17.11026615969582,
Ivorra,2025,5,,2025,100,,
Isona i Conca Dellà,2025,80,25.0,2025,1038,24.084778420038536,
Juncosa,2025,30,,2025,377,,
Juneda,2025,236,65.0,2025,3453,18.824210831161306,
Lleida,2025,10052,3209.0,2025,146266,21.939480125251254,40.96649430180293
Linyola,2025,168,61.0,2025,2762,22.085445329471398,
Lladorre,2025,20,,2025,246,,
Lladurs,2025,20,,2025,186,,
Llardecans,2025,26,,2025,444,,
Lles de Cerdanya,2025,33,,2025,290,,
Llimiana,2025,6,,2025,130,,
Llobera,2025,17,,2025,201,,
Maldà,2025,17,,2025,239,,
Massalcoreig,2025,22,,2025,592,,
Massoteres,2025,16,,2025,227,,
Maials,2025,51,,2025,951,,
Menàrguens,2025,54,,2025,798,,
Miralcamp,2025,87,29.0,2025,1369,21.183345507669834,
"Molsosa, La",2025,9,,2025,100,,
Mollerussa,2025,964,300.0,2025,15763,19.031910169384,21.04482237341466
Montgai,2025,56,,2025,640,,
Montellà i Martinet,2025,76,,2025,598,,
Montferrer i Castellbò,2025,130,44.0,2025,1161,37.89836347975883,
Montoliu de Segarra,2025,16,,2025,180,,
Montornès de Segarra,2025,7,,2025,87,,
Navès,2025,30,,2025,292,,
Odèn,2025,21,,2025,231,,
Oliana,2025,124,52.0,2025,1874,27.74813233724653,
Oliola,2025,4,,2025,192,,
"Oluges, Les",2025,8,,2025,167,,
"Omellons, Els",2025,11,,2025,187,,
"Omells de na Gaia, Els",2025,10,,2025,126,,
Organyà,2025,68,,2025,853,,
Os de Balaguer,2025,69,27.0,2025,1088,24.816176470588236,
Ossó de Sió,2025,12,,2025,198,,
"Palau d'Anglesola, El",2025,173,50.0,2025,2232,22.40143369175627,
Conca de Dalt,2025,36,,2025,438,,
Penelles,2025,25,,2025,431,,
Peramola,2025,20,,2025,339,,
Pinell de Solsonès,2025,24,,2025,198,,
Pinós,2025,22,,2025,274,,
"Poal, El",2025,50,,2025,649,,
"Pobla de Cérvoles, La",2025,9,,2025,208,,
Bellaguarda,2025,17,,2025,278,,
"Pobla de Segur, La",2025,239,69.0,2025,3143,21.95354756601973,
Ponts,2025,205,78.0,2025,2653,29.400678477195626,
"Pont de Suert, El",2025,204,85.0,2025,2381,35.699286014279714,
"Portella, La",2025,33,,2025,731,,
Prats i Sansor,2025,46,,2025,252,,
Preixana,2025,28,,2025,401,,
Preixens,2025,23,,2025,399,,
Prullans,2025,30,,2025,270,,
Puiggròs,2025,15,,2025,269,,
Puigverd d'Agramunt,2025,10,,2025,231,,
Puigverd de Lleida,2025,70,21.0,2025,1409,14.904187366926898,
Ribera d'Urgellet,2025,68,,2025,989,,
Riner,2025,24,,2025,269,,
Rosselló,2025,161,60.0,2025,3416,17.564402810304447,
Salàs de Pallars,2025,36,,2025,365,,
Sant Guim de Freixenet,2025,71,23.0,2025,1235,18.62348178137652,
Sant Llorenç de Morunys,2025,105,33.0,2025,983,33.5707019328586,
Sant Ramon,2025,41,,2025,483,,
Sant Guim de la Plana,2025,12,,2025,190,,
Sarroca de Lleida,2025,18,,2025,383,,
Sarroca de Bellera,2025,12,,2025,111,,
Senterada,2025,21,,2025,160,,
"Seu d'Urgell, La",2025,1049,373.0,2025,13009,28.67245752940272,33.39657539332059
Seròs,2025,113,44.0,2025,1954,22.517911975435005,
Sidamon,2025,43,,2025,760,,
"Soleràs, El",2025,13,,2025,308,,
Soriguera,2025,36,,2025,446,,
Sort,2025,319,117.0,2025,2236,52.32558139534884,
Soses,2025,101,40.0,2025,1892,21.141649048625794,
Sudanell,2025,67,,2025,915,,
Sunyer,2025,16,,2025,310,,
Talarn,2025,27,,2025,555,,
Talavera,2025,15,,2025,280,,
Tàrrega,2025,1364,502.0,2025,19057,26.34202655192318,32.868568906895845
Tarrés,2025,4,,2025,126,,
Tarroja de Segarra,2025,10,,2025,164,,
Térmens,2025,92,34.0,2025,1350,25.185185185185187,
Tírvia,2025,14,,2025,141,,
Torà,2025,94,43.0,2025,1190,36.13445378151261,
"Torms, Els",2025,7,,2025,135,,
Tornabous,2025,58,,2025,832,,
Torrebesses,2025,16,,2025,278,,
"Torre de Cabdella, La",2025,43,,2025,758,,
Torregrossa,2025,150,46.0,2025,2248,20.462633451957295,
Torrelameu,2025,29,,2025,788,,
Torres de Segre,2025,126,58.0,2025,2317,25.032369443245578,
Tremp,2025,451,156.0,2025,6123,25.477707006369428,23.683392267639757
Vallbona de les Monges,2025,14,,2025,223,,
"Valls de Valira, Les",2025,59,,2025,845,,
Verdú,2025,48,,2025,876,,
Vielha e Mijaran,2025,727,237.0,2025,5865,40.409207161125316,43.382548064011885
Vilaller,2025,45,,2025,496,,
Vilamòs,2025,20,,2025,174,,
Vilanova de Bellpuig,2025,64,15.0,2025,1150,13.043478260869565,
Vilanova de l'Aguda,2025,7,,2025,192,,
Vilanova de Meià,2025,30,,2025,479,,
Vilanova de Segrià,2025,64,26.0,2025,1094,23.76599634369287,
"Vilosell, El",2025,16,,2025,177,,
Vilanova de la Barca,2025,80,38.0,2025,1163,32.67411865864144,
Vinaixa,2025,23,,2025,437,,
Sant Martí de Riucorb,2025,48,,2025,668,,
Castell de Mur,2025,8,,2025,159,,
"Valls d'Aguilar, Les",2025,17,,2025,253,,
Torrefeta i Florejacs,2025,34,,2025,589,,
Fígols i Alinyà,2025,21,,2025,234,,
"Vansa i Fórnols, La",2025,18,,2025,187,,
Josa i Tuixén,2025,13,,2025,110,,
"Plans de Sió, Els",2025,33,,2025,506,,
Gimenells i el Pla de la Font,2025,54,25.0,2025,1069,23.386342376052383,
Ábalos,2025,25,,2025,256,,
Agoncillo,2025,111,43.0,2025,1464,29.371584699453553,
Aguilar del Río Alhama,2025,24,,2025,421,,
Albelda de Iregua,2025,246,68.0,2025,3930,17.302798982188293,
Alberite,2025,170,51.0,2025,2743,18.59278162595698,
Alcanadre,2025,41,,2025,685,,
Aldeanueva de Ebro,2025,116,43.0,2025,2753,15.619324373410825,
Alfaro,2025,567,207.0,2025,9923,20.860626826564545,20.489250841887454
Anguciana,2025,19,,2025,450,,
Anguiano,2025,18,,2025,488,,
Arenzana de Abajo,2025,20,,2025,257,,
Arnedillo,2025,24,,2025,433,,
Arnedo,2025,1052,365.0,2025,15140,24.108322324966974,28.1212400195635
Ausejo,2025,34,,2025,774,,
Autol,2025,232,86.0,2025,4958,17.34570391286809,
Azofra,2025,5,,2025,188,,
Badarán,2025,39,,2025,474,,
Bañares,2025,24,,2025,198,,
Baños de Rioja,2025,4,,2025,86,,
Baños de Río Tobía,2025,115,45.0,2025,1589,28.319697923222154,
Berceo,2025,11,,2025,143,,
Bergasa,2025,6,,2025,172,,
Bobadilla,2025,5,,2025,103,,
Briñas,2025,20,,2025,191,,
Briones,2025,48,,2025,752,,
Calahorra,2025,1576,597.0,2025,25367,23.53451334410849,30.935555864853328
Camprovín,2025,6,,2025,158,,
Cañas,2025,4,,2025,95,,
Cárdenas,2025,6,,2025,132,,
Casalarreina,2025,75,34.0,2025,1094,31.078610603290677,
Cenicero,2025,117,57.0,2025,2173,26.231017027151406,
Cervera del Río Alhama,2025,125,49.0,2025,2237,21.904336164506034,
Cihuri,2025,10,,2025,205,,
Cirueña,2025,15,,2025,194,,
Clavijo,2025,20,,2025,294,,
Cordovín,2025,14,,2025,154,,
Corera,2025,15,,2025,281,,
Cornago,2025,9,,2025,298,,
Cuzcurrita de Río Tirón,2025,33,,2025,565,,
Enciso,2025,17,,2025,167,,
Entrena,2025,122,53.0,2025,1660,31.927710843373493,
Estollo,2025,5,,2025,90,,
Ezcaray,2025,170,77.0,2025,2067,37.25205611998065,
Fuenmayor,2025,193,69.0,2025,3281,21.030173727522097,
Galilea,2025,20,,2025,419,,
Gimileo,2025,9,,2025,122,,
Grañón,2025,19,,2025,209,,
Grávalos,2025,9,,2025,196,,
Haro,2025,772,298.0,2025,12167,24.492479658091558,27.126934565948844
Herce,2025,17,,2025,340,,
Hervías,2025,9,,2025,138,,
Hormilla,2025,31,,2025,442,,
Hormilleja,2025,10,,2025,153,,
Huércanos,2025,23,,2025,856,,
Igea,2025,29,,2025,638,,
Lagunilla del Jubera,2025,9,,2025,385,,
Lardero,2025,819,295.0,2025,12060,24.461028192371476,27.02051261845006
Leiva,2025,9,,2025,235,,
Logroño,2025,10543,3137.0,2025,152150,20.617811370358197,39.323504587214885
Matute,2025,4,,2025,88,,
Medrano,2025,19,,2025,350,,
Munilla,2025,9,,2025,93,,
Murillo de Río Leza,2025,85,35.0,2025,1656,21.135265700483092,
Muro de Aguas,2025,4,,2025,57,,
Nájera,2025,600,248.0,2025,8336,29.750479846449135,31.737723729937947
Nalda,2025,68,27.0,2025,1307,20.657995409334355,
Navarrete,2025,274,86.0,2025,3061,28.095393662201893,
Ocón,2025,9,,2025,312,,
Ochánduri,2025,8,,2025,78,,
Ojacastro,2025,12,,2025,199,,
Ollauri,2025,28,,2025,319,,
Ortigosa de Cameros,2025,11,,2025,214,,
Pedroso,2025,4,,2025,89,,
Pradejón,2025,193,81.0,2025,3742,21.64617851416355,
Préjano,2025,16,,2025,206,,
Quel,2025,122,46.0,2025,2128,21.616541353383457,
"Rasillo de Cameros, El",2025,11,,2025,149,,
"Redal, El",2025,7,,2025,138,,
Ribafrecha,2025,50,14.0,2025,1076,13.011152416356877,
Rincón de Soto,2025,230,79.0,2025,4041,19.549616431576343,
Rodezno,2025,8,,2025,230,,
Sajazarra,2025,9,,2025,123,,
San Asensio,2025,74,28.0,2025,1088,25.735294117647058,
San Millán de la Cogolla,2025,24,,2025,214,,
San Román de Cameros,2025,11,,2025,127,,
Santa Coloma,2025,5,,2025,104,,
Santa Eulalia Bajera,2025,6,,2025,112,,
Santo Domingo de la Calzada,2025,467,193.0,2025,6441,29.964291259121254,30.215286053003467
Santurde de Rioja,2025,16,,2025,260,,
Santurdejo,2025,5,,2025,95,,
San Vicente de la Sonsierra,2025,95,33.0,2025,1054,31.309297912713475,
Sojuela,2025,53,,2025,690,,
Sorzano,2025,11,,2025,233,,
Sotés,2025,15,,2025,261,,
Tirgo,2025,14,,2025,167,,
Tormantos,2025,4,,2025,124,,
Torrecilla en Cameros,2025,32,,2025,474,,
Treviana,2025,8,,2025,142,,
Tudelilla,2025,22,,2025,360,,
Uruñuela,2025,53,,2025,1007,,
Valgañón,2025,8,,2025,133,,
Ventosa,2025,14,,2025,196,,
Viguera,2025,27,,2025,377,,
Villalba de Rioja,2025,8,,2025,155,,
Villalobar de Rioja,2025,5,,2025,84,,
Villamediana de Iregua,2025,512,176.0,2025,9263,19.000323869156862,17.26084455481758
Villanueva de Cameros,2025,7,,2025,68,,
"Villar de Arnedo, El",2025,31,,2025,645,,
Villarta-Quintana,2025,6,,2025,129,,
Villoslada de Cameros,2025,18,,2025,351,,
Viniegra de Abajo,2025,12,,2025,81,,
Zarratón,2025,23,,2025,254,,
Zorraquín,2025,6,,2025,88,,
Abadín,2025,113,53.0,2025,2239,23.671281822242072,
Alfoz,2025,99,35.0,2025,1493,23.44273275284662,
Antas de Ulla,2025,88,36.0,2025,1822,19.758507135016465,
Baleira,2025,66,35.0,2025,1093,32.02195791399817,
Barreiros,2025,236,109.0,2025,3036,35.90250329380764,
Becerreá,2025,189,93.0,2025,2836,32.792665726375176,
Begonte,2025,158,70.0,2025,2886,24.255024255024257,
Bóveda,2025,81,36.0,2025,1369,26.296566837107378,
Carballedo,2025,113,51.0,2025,1987,25.666834423754402,
Castro de Rei,2025,282,121.0,2025,5001,24.19516096780644,20.458007532766704
Castroverde,2025,173,78.0,2025,2478,31.476997578692497,
Cervantes,2025,51,25.0,2025,1142,21.891418563922944,
Cervo,2025,189,79.0,2025,4137,19.095963258399806,
"Corgo, O",2025,227,108.0,2025,3366,32.0855614973262,
Cospeito,2025,268,127.0,2025,4172,30.441035474592525,
Chantada,2025,683,304.0,2025,8171,37.204748500795496,41.53573343382173
Folgoso do Courel,2025,48,,2025,921,,
"Fonsagrada, A",2025,188,95.0,2025,3073,30.914415880247315,
Foz,2025,671,227.0,2025,10329,21.9769580791945,22.3905469249354
Friol,2025,214,83.0,2025,3608,23.004434589800443,
Xermade,2025,65,26.0,2025,1665,15.615615615615615,
Guitiriz,2025,336,143.0,2025,5180,27.606177606177607,25.460862024038114
Guntín,2025,107,48.0,2025,2501,19.192323070771693,
"Incio, O",2025,67,29.0,2025,1513,19.16721744877726,
Xove,2025,155,69.0,2025,3269,21.10737228510248,
Láncara,2025,174,72.0,2025,2489,28.92728003214142,
Lourenzá,2025,162,71.0,2025,2083,34.08545367258761,
Lugo,2025,7635,2622.0,2025,100143,26.182558940714777,44.30906928001559
Mondoñedo,2025,282,120.0,2025,3303,36.33060853769301,
Monforte de Lemos,2025,1341,492.0,2025,18933,25.98637299952464,32.32793909354558
Monterroso,2025,244,102.0,2025,3744,27.243589743589745,
Muras,2025,25,,2025,577,,
Navia de Suarna,2025,69,,2025,971,,
Negueira de Muñiz,2025,11,,2025,236,,
"Nogais, As",2025,49,,2025,914,,
Ourol,2025,33,,2025,965,,
Outeiro de Rei,2025,390,134.0,2025,5420,24.723247232472325,21.76804782509351
Palas de Rei,2025,245,107.0,2025,3227,33.15773163929346,
Pantón,2025,133,30.0,2025,2350,12.76595744680851,
Paradela,2025,93,39.0,2025,1557,25.048169556840076,
"Páramo, O",2025,52,20.0,2025,1265,15.810276679841897,
"Pastoriza, A",2025,142,62.0,2025,2794,22.19040801717967,
Pedrafita do Cebreiro,2025,48,,2025,868,,
Pol,2025,78,26.0,2025,1550,16.774193548387096,
"Pobra do Brollón, A",2025,77,25.0,2025,1610,15.527950310559007,
"Pontenova, A",2025,190,80.0,2025,2106,37.98670465337132,
Portomarín,2025,112,69.0,2025,1277,54.03288958496476,
Quiroga,2025,179,88.0,2025,3040,28.94736842105263,
Ribadeo,2025,835,361.0,2025,10022,36.020754340451006,41.41470371783291
Ribas de Sil,2025,40,,2025,894,,
Ribeira de Piquín,2025,21,,2025,549,,
Riotorto,2025,82,39.0,2025,1182,32.994923857868024,
Samos,2025,60,39.0,2025,1158,33.67875647668394,
Rábade,2025,133,67.0,2025,1514,44.253632760898284,
Sarria,2025,1188,531.0,2025,13726,38.68570595949293,47.11829279262433
"Saviñao, O",2025,224,84.0,2025,3470,24.20749279538905,
Sober,2025,129,42.0,2025,2090,20.095693779904305,
Taboada,2025,133,59.0,2025,2617,22.54489873901414,
Trabada,2025,72,25.0,2025,1070,23.36448598130841,
Triacastela,2025,48,,2025,589,,
"Valadouro, O",2025,80,27.0,2025,1845,14.634146341463415,
"Vicedo, O",2025,79,29.0,2025,1553,18.673535093367676,
Vilalba,2025,985,451.0,2025,13852,32.55847531042449,39.09309204495091
Viveiro,2025,885,389.0,2025,15120,25.727513227513228,30.386291935297812
Baralla,2025,183,91.0,2025,2396,37.97996661101836,
Burela,2025,578,212.0,2025,9630,22.01453790238837,21.952202986401893
"Acebeda, La",2025,7,,2025,70,,
Alameda del Valle,2025,29,,2025,267,,
"Álamo, El",2025,655,260.0,2025,10594,24.542193694544082,26.22390421782071
Alcalá de Henares,2025,9786,3272.0,2025,203208,16.101728278414235,34.550660399904174
Alcobendas,2025,10393,2643.0,2025,123342,21.428223962640462,39.02871381523386
Alcorcón,2025,8883,3095.0,2025,175719,17.613348584956665,35.85645021050704
Aldea del Fresno,2025,173,48.0,2025,3503,13.702540679417643,
Algete,2025,1743,496.0,2025,21144,23.45819144911086,29.547137056158014
Alpedrete,2025,1242,291.0,2025,15686,18.55157465255642,20.291581456787632
Ambite,2025,42,,2025,732,,
Anchuelo,2025,78,33.0,2025,1414,23.33804809052334,
Aranjuez,2025,2969,980.0,2025,63040,15.545685279187817,25.452416917590263
Arganda del Rey,2025,4203,1501.0,2025,60419,24.843178470348732,38.88491808294544
Batres,2025,170,52.0,2025,1976,26.31578947368421,
Becerril de la Sierra,2025,569,146.0,2025,6737,21.671367077334125,18.945363906002154
Belmonte de Tajo,2025,102,31.0,2025,1955,15.856777493606138,
Berzosa del Lozoya,2025,19,,2025,242,,
"Berrueco, El",2025,51,,2025,795,,
"Boalo, El",2025,641,145.0,2025,8770,16.53363740022805,13.130292501043051
Braojos,2025,20,,2025,233,,
Brea de Tajo,2025,19,,2025,577,,
Brunete,2025,842,202.0,2025,11287,17.89669531319217,16.990568074469266
Buitrago del Lozoya,2025,134,61.0,2025,2034,29.99016715830875,
Bustarviejo,2025,224,56.0,2025,2870,19.51219512195122,
Cabanillas de la Sierra,2025,64,,2025,961,,
"Cabrera, La",2025,242,81.0,2025,2889,28.037383177570092,
Cadalso de los Vidrios,2025,208,63.0,2025,3372,18.68327402135231,
Camarma de Esteruelas,2025,602,205.0,2025,8331,24.60688992918017,24.62594112416531
Campo Real,2025,532,210.0,2025,6974,30.111843991970176,30.97426888421708
Canencia,2025,31,,2025,475,,
Carabaña,2025,132,51.0,2025,2451,20.8078335373317,
Casarrubuelos,2025,286,107.0,2025,4323,24.751330094841546,
Cenicientos,2025,86,43.0,2025,2152,19.981412639405203,
Cercedilla,2025,594,155.0,2025,7772,19.943386515697373,17.426280575158394
Cervera de Buitrago,2025,6,,2025,165,,
Ciempozuelos,2025,1214,459.0,2025,26350,17.419354838709676,22.224017893587977
Cobeña,2025,521,153.0,2025,7670,19.947848761408082,17.340002902362343
Colmenar del Arroyo,2025,117,41.0,2025,2044,20.058708414872797,
Colmenar de Oreja,2025,519,164.0,2025,9127,17.968664402322776,15.606508110272276
Colmenarejo,2025,613,136.0,2025,9640,14.107883817427386,9.957137679019317
Colmenar Viejo,2025,3305,901.0,2025,58730,15.341392814575176,24.63234838761557
Collado Mediano,2025,620,136.0,2025,7722,17.61201761201761,13.890296495198516
Collado Villalba,2025,3874,1168.0,2025,67274,17.3618336950382,28.72447200050258
Corpa,2025,30,,2025,832,,
Coslada,2025,4434,1731.0,2025,80512,21.499900635930047,36.13440977456574
Cubas de la Sagra,2025,504,149.0,2025,7238,20.58579718154186,17.86984984358612
Chapinería,2025,204,54.0,2025,2705,19.963031423290204,
Chinchón,2025,357,149.0,2025,5800,25.689655172413794,23.598593444733943
Daganzo de Arriba,2025,756,263.0,2025,10764,24.43329617242661,26.18231278612296
"Escorial, El",2025,1231,278.0,2025,17171,16.19008793896686,17.319730739959248
Estremera,2025,69,30.0,2025,1473,20.366598778004075,
Fresnedillas de la Oliva,2025,98,20.0,2025,1883,10.621348911311737,
